Country,2001,2000,1999,1998,1997
Albania,0,0,0,0,0
Algeria,0,0,0,0,0
Argentina,26,16,15,14,9
Armenia,0,0,0,0,0
Australia,71,30,9,9,4
Austria,94,77,42,30,20
Azerbaijan,0,0,0,0,0
Bahrain,0,0,0,0,0
Bangladesh,0,0,0,0,0
Barbados,0,0,0,0,0
Belarus,0,0,0,0,0
Belgium,32,13,9,6,4
Bhutan,0,0,0,0,0
Bolivia,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0
Brazil,24,22,19,17,3
Bulgaria,0,0,0,0,0
Cambodia,0,0,0,0,0
Canada,207,137,125,82,25
Cape Verde,0,0,0,0,0
Chad,0,0,0,0,0
Chile,0,0,0,0,0
China,400,352,262,200,146
Colombia,0,0,0,0,0
Costa Rica,50,50,50,30,23
Croatia,0,0,0,0,0
Cuba,0,0,0,0,0
Curaçao,0,0,0,0,0
Cyprus,0,0,0,0,0
Czech Republic,0,0,0,0,0
Denmark,"2,383","2,417","1,771","1,383","1,066"
Djibouti,0,0,0,0,0
Dominica,0,0,0,0,0
Dominican Republic,0,0,0,0,0
Ecuador,0,0,0,0,0
Egypt,69,69,36,6,6
El Salvador,0,0,0,0,0
Eritrea,0,0,0,0,0
Estonia,0,0,0,0,0
Ethiopia,0,0,0,0,0
Faroe Islands,0,0,0,0,0
Fiji,0,0,0,0,0
Finland,39,39,39,18,12
France,95,68,25,21,10
Gambia,0,0,0,0,0
Georgia,0,0,0,0,0
Germany,"8,754","6,095","4,443","2,875","2,081"
Ghana,0,0,0,0,0
Greece,272,247,158,55,29
Grenada,0,0,0,0,0
Guam,0,0,0,0,0
Guatemala,0,0,0,0,0
Guyana,0,0,0,0,0
Honduras,0,0,0,0,0
Hungary,0,0,0,0,0
Iceland,0,0,0,0,0
India,"1,507","1,267","1,035",992,940
Indonesia,0,0,0,0,0
Iran,11,11,11,11,11
Ireland,125,119,73,73,53
Israel,1,0,0,0,0
Italy,682,427,283,178,103
Jamaica,0,0,0,0,0
Japan,275,142,68,30,18
Jordan,0,0,0,0,0
Kazakhstan,0,0,0,0,0
Kenya,0,0,0,0,0
Kosovo,0,0,0,0,0
Kuwait,0,0,0,0,0
Latvia,2,0,0,0,0
Libya,0,0,0,0,0
Lithuania,0,0,0,0,0
Luxembourg,14,14,13,13,6
Mauritania,0,0,0,0,0
Mauritius,0,0,0,0,0
Mexico,0,0,0,0,0
Micronesia,0,0,0,0,0
Mongolia,0,0,0,0,0
Montenegro,0,0,0,0,0
Morocco,54,54,14,0,0
Mozambique,0,0,0,0,0
Namibia,0,0,0,0,0
Netherlands,481,440,409,361,319
New-Zealand,35,35,35,24,4
Nicaragua,0,0,0,0,0
Nigeria,0,0,0,0,0
North Macedonia,0,0,0,0,0
Norway,13,13,13,9,4
Oman,0,0,0,0,0
Pakistan,0,0,0,0,0
Panama,0,0,0,0,0
Peru,1,1,1,0,0
Philippines,0,0,0,0,0
Poland,22,5,5,5,2
Portugal,131,83,67,51,38
Puerto Rico,0,0,0,0,0
Romania,0,0,0,0,0
Russia,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0
Samoa,0,0,0,0,0
Saudi Arabia,0,0,0,0,0
Senegal,0,0,0,0,0
Serbia,0,0,0,0,0
Seychelles,0,0,0,0,0
Singapore,0,0,0,0,0
Slovakia,0,0,0,0,0
Slovenia,0,0,0,0,0
South Africa,13,13,13,0,0
South Korea,0,0,0,0,0
Spain,"3,337","2,535","1,542",834,427
Sri Lanka,3,3,3,0,0
Sudan,0,0,0,0,0
Sweden,295,241,220,178,127
Switzerland,0,0,0,0,0
Syria,0,0,0,0,0
Taiwan,0,0,0,0,0
Tanzania,0,0,0,0,0
Thailand,0,0,0,0,0
The Bahamas,0,0,0,0,0
Tonga,0,0,0,0,0
Tunisia,11,11,0,0,0
Turkey,19,19,9,9,0
Uganda,0,0,0,0,0
Ukraine,41,5,5,3,0
United Arab Emirates,0,0,0,0,0
United-Kingdom,474,409,347,333,319
Uruguay,0,0,0,0,0
USA,"4,258","2,564","2,534","1,820","1,673"
Uzbekistan,0,0,0,0,0
Vanuatu,0,0,0,0,0
Venezuela,0,0,0,0,0
Vietnam,0,0,0,0,0
